id,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Position,Height (in),Wing Span (in)
1627777,Georges Niang,2024-25,00,0,TOT,32.0,79,3,1697,286,620,0.461,166,409,0.406,46,58,0.793,47,225,272,111,28,14,82,201,784,PF,79,82
1630192,Zeke Nnaji,2024-25,00,1610612743,DEN,24.0,57,4,608,70,141,0.496,17,52,0.327,27,44,0.614,33,57,90,23,25,38,14,62,184,PF,81,86
203994,Jusuf Nurkić,2024-25,00,1610612756,PHX,30.0,25,23,592,74,163,0.454,19,59,0.322,48,69,0.696,46,183,229,47,23,16,57,78,215,C,83,86
203994,Jusuf Nurkić,2024-25,00,1610612766,CHA,30.0,26,9,471,94,189,0.497,13,46,0.283,37,59,0.627,39,130,169,68,17,18,40,52,238,C,83,86
203994,Jusuf Nurkić,2024-25,00,0,TOT,30.0,51,32,1063,168,352,0.477,32,105,0.305,85,128,0.664,85,313,398,115,40,34,97,130,453,C,83,86
1626220,Royce O'Neale,2024-25,00,1610612756,PHX,32.0,75,22,1837,241,570,0.423,179,441,0.406,19,26,0.731,53,296,349,163,67,33,65,151,680,SF,76,81
1629643,Chuma Okeke,2024-25,00,1610612755,PHI,26.0,7,3,171,18,33,0.545,10,22,0.455,2,3,0.667,20,23,43,13,5,3,3,5,48,PF,79,82
1629643,Chuma Okeke,2024-25,00,1610612739,CLE,26.0,2,0,25,2,7,0.286,1,6,0.167,0,0,0.0,1,3,4,2,0,1,0,0,5,PF,79,82
1629643,Chuma Okeke,2024-25,00,0,TOT,26.0,9,3,197,20,40,0.5,11,28,0.393,2,3,0.667,21,26,47,15,5,4,3,5,53,PF,79,82
1629006,Josh Okogie,2024-25,00,1610612756,PHX,26.0,25,1,351,56,114,0.491,16,42,0.381,22,32,0.688,32,40,72,14,21,11,16,28,150,SF,75,84
1629006,Josh Okogie,2024-25,00,1610612766,CHA,26.0,15,6,274,38,98,0.388,16,50,0.32,41,53,0.774,13,28,41,19,27,8,15,19,133,SF,75,84
1629006,Josh Okogie,2024-25,00,0,TOT,26.0,40,7,625,94,212,0.443,32,92,0.348,63,85,0.741,45,68,113,33,48,19,31,47,283,SF,75,84
1630168,Onyeka Okongwu,2024-25,00,1610612737,ATL,24.0,74,40,2064,388,684,0.567,48,148,0.324,164,216,0.759,220,440,660,168,69,68,90,193,988,C,80,86
